# Table 1 from Gyldenkerne et al. (1975)
# Measurements of HS Hya in instrumental system
# HS Hya   A&A 42, pp. 303-309 (1975)
# npts      JD0        Period
# 533 2441374.5934   1.568035
#   HJD-2440000   phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 n   dd   dm     phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 74 1374 0.65263  0.03650    2.039  0.255  0.025 -0.711  2.294  2.574  2.143
 74 1374 0.65708  0.03934    2.016  0.260  0.020 -0.725  2.276  2.556  2.110
 74 1374 0.66136  0.04207    1.992  0.261  0.018 -0.715  2.253  2.532  2.095
 74 1374 0.66536  0.04462    1.987  0.254  0.039 -0.736  2.241  2.533  2.089
 74 1374 0.66935  0.04716    1.963  0.264  0.017 -0.725  2.227  2.508  2.064
 74 1374 0.67357  0.04985    1.957  0.267  0.009 -0.721  2.224  2.499  2.054
 74 1374 0.67763  0.05244    1.949  0.271  0.009 -0.721  2.220  2.501  2.060
 74 1374 0.68260  0.05561    1.948  0.273  0.005 -0.705  2.221  2.498  2.071
 74 1374 0.68735  0.05864    1.953  0.263  0.017 -0.711  2.216  2.497  2.067
 74 1374 0.69151  0.06129    1.952  0.268  0.016 -0.729  2.220  2.504  2.059
 74 1374 0.70072  0.06717    1.949  0.263  0.030 -0.742  2.213  2.506  2.057
 74 1374 0.70552  0.07023    1.935  0.275  0.005 -0.734  2.210  2.490  2.036
 74 1374 0.70905  0.07248    1.959  0.262  0.019 -0.722  2.220  2.501  2.061
 74 1374 0.71316  0.07510    1.958  0.265  0.014 -0.725  2.222  2.501  2.054
 74 1374 0.71738  0.07779    1.945  0.275  0.004 -0.716  2.219  2.497  2.060
 74 1374 0.72138  0.08034    1.955  0.263  0.023 -0.728  2.218  2.504  2.062
 74 1374 0.72560  0.08303    1.946  0.264  0.025 -0.726  2.210  2.499  2.062
 74 1374 0.72994  0.08580    1.965  0.252  0.024 -0.707  2.217  2.493  2.063
 74 1374 0.73445  0.08868    1.950  0.268  0.010 -0.713  2.218  2.496  2.061
 74 1374 0.73879  0.09145    1.936  0.277  0.008 -0.726  2.213  2.498  2.058
 74 1374 0.75014  0.09868    1.946  0.268  0.016 -0.729  2.215  2.499  2.055
 74 1374 0.75135  0.09946    1.950  0.271  0.007 -0.730  2.221  2.499  2.047
 74 1374 0.75257  0.10023    1.954  0.262  0.017 -0.713  2.216  2.496  2.062
 74 1374 0.75384  0.10104    1.955  0.261  0.019 -0.713  2.216  2.496  2.063
 74 1374 0.75506  0.10182    1.944  0.276  0.004 -0.715  2.221  2.501  2.067
 74 1374 0.76397  0.10750    1.947  0.278  0.001 -0.722  2.224  2.503  2.060
 74 1374 0.76900  0.11071    1.942  0.274  0.014 -0.733  2.215  2.503  2.057
 74 1374 0.77352  0.11359    1.950  0.268  0.018 -0.731  2.218  2.505  2.060
 74 1374 0.78949  0.12378    1.959  0.258  0.032 -0.732  2.216  2.505  2.062
 74 1374 0.83110  0.15032    1.961  0.251  0.039 -0.738  2.212  2.502  2.054
 74 1374 0.83607  0.15349    1.950  0.263  0.021 -0.722  2.213  2.496  2.058
 74 1374 0.84024  0.15614    1.940  0.273  0.009 -0.740  2.213  2.495  2.038
 74 1374 0.84475  0.15902    1.940  0.269  0.014 -0.725  2.209  2.492  2.050
 74 1374 0.84915  0.16183    1.949  0.262  0.015 -0.705  2.212  2.489  2.062
 74 1374 0.85546  0.16585    1.940  0.268  0.018 -0.735  2.208  2.494  2.044
 74 1374 0.86044  0.16903    1.949  0.256  0.028 -0.725  2.206  2.490  2.049
 75 1375 0.60721  0.64527    1.957  0.267  0.006 -0.713  2.224  2.498  2.057
 75 1375 0.61172  0.64815    1.970  0.257  0.021 -0.724  2.227  2.504  2.058
 75 1375 0.61601  0.65088    1.959  0.260  0.018 -0.722  2.219  2.497  2.053
 75 1375 0.61994  0.65339    1.951  0.264  0.017 -0.722  2.215  2.496  2.054
 75 1375 0.62417  0.65609    1.952  0.266  0.013 -0.725  2.219  2.497  2.051
 75 1375 0.62833  0.65874    1.949  0.265  0.019 -0.735  2.214  2.499  2.048
 75 1375 0.63256  0.66144    1.958  0.255  0.028 -0.731  2.213  2.497  2.049
 75 1375 0.63672  0.66409    1.945  0.268  0.009 -0.714  2.213  2.490  2.053
 75 1375 0.64089  0.66675    1.945  0.266  0.021 -0.746  2.210  2.497  2.038
 75 1375 0.64494  0.66933    1.934  0.279 -0.003 -0.703  2.213  2.489  2.061
 75 1375 0.65236  0.67407    1.950  0.257  0.032 -0.741  2.207  2.496  2.044
 75 1375 0.65822  0.67780    1.940  0.270  0.017 -0.740  2.211  2.498  2.046
 75 1375 0.66404  0.68152    1.956  0.263  0.017 -0.733  2.218  2.498  2.046
 75 1375 0.66844  0.68432    1.955  0.259  0.029 -0.733  2.214  2.501  2.055
 75 1375 0.67272  0.68705    1.965  0.251  0.040 -0.742  2.217  2.508  2.056
 75 1375 0.68134  0.69255    1.949  0.261  0.031 -0.750  2.210  2.502  2.044
 75 1375 0.68557  0.69525    1.943  0.267  0.018 -0.734  2.209  2.494  2.045
 75 1375 0.68962  0.69783    1.943  0.270  0.012 -0.721  2.213  2.496  2.058
 75 1375 0.69378  0.70048    1.936  0.276  0.004 -0.712  2.212  2.491  2.059
 75 1375 0.69841  0.70343    1.928  0.277  0.014 -0.736  2.205  2.496  2.052
 75 1375 0.70270  0.70617    1.939  0.277  0.001 -0.711  2.216  2.493  2.060
 75 1375 0.70680  0.70879    1.958  0.253  0.035 -0.724  2.211  2.498  2.061
 75 1375 0.71080  0.71134    1.948  0.257  0.038 -0.749  2.204  2.500  2.045
 75 1375 0.71595  0.71462    1.962  0.250  0.028 -0.725  2.212  2.490  2.043
 75 1375 0.72006  0.71724    1.970  0.238  0.044 -0.715  2.208  2.489  2.056
 75 1375 0.72469  0.72019    1.934  0.278  0.011 -0.737  2.212  2.501  2.053
