title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2415117.668314	1900.266215	 8.04	 0.21	11.54	156.15480	-19.09179	 71.8	0.634	ac00801	190	1082130432	1349386240	127418	4480	0.000700	23,30	17,18,19,21,22,28,30	7,8,12
2415121.671171	1900.277181	 8.13	 0.16	11.94	156.15556	-19.09156	 72.9	0.216	am00437	193	0	1349451776	368927	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415127.617057	1900.293471	 8.60	 0.28	13.93	156.15359	-19.09272	-67.8	0.370	b25131	184	33554432	1349387264	944517	704	0.000700	25	10,17,18,19,21,22,28,30	6,7,9
2415148.584578	1900.350917	 8.08	 0.30	12.81	156.15213	-19.09273	-89.6	0.409	am00458	193	0	1349452800	469433	448	0.000700		10,16,17,18,19,21,22,28,30	6,7,8
2415370.915336	1900.960042	 8.12	 0.18	12.68	156.15634	-19.09115	 57.5	0.351	ac01062	190	0	1349452800	84907	448	0.000700		10,16,17,18,19,21,22,28,30	6,7,8
2415383.822899	1900.995405	 8.34	 0.47	14.41	156.15332	-19.09190	-71.2	0.189	b26865	184	0	1349452800	393682	704	0.000700		10,16,17,18,19,21,22,28,30	6,7,9
2415385.804094	1901.000833	 8.72	 0.27	12.08	156.15368	-19.09261	 58.0	0.464	b26880	184	0	1349451776	942982	640	0.000700		16,17,18,19,21,22,28,30	7,9
2415423.728207	1901.104735	 8.03	 0.14	 9.70	156.15389	-19.09249	-36.2	0.269	ai00118	183	0	1349453824	71384	256	0.000700		11,16,17,18,19,21,22,28,30	8
2415435.745675	1901.137659	 8.09	 0.24	13.20	156.15487	-19.09101	 83.1	0.275	ac01265	190	128	1479478272	209539	328	0.000700	7	10,11,16,17,18,19,21,27,28,30	3,6,8
2415464.587661	1901.216679	 8.09	 0.73	11.05	156.15395	-19.09243	 87.7	0.262	am00732	193	268435456	1349191680	654170	256	0.000700	28	11,16,17,19,21,22,28,30	8
2415466.671016	1901.222386	 8.05	 0.40	11.71	156.15707	-19.09220	 80.4	0.556	ac01366	190	128	1349451776	106888	385	0.000700	7	16,17,18,19,21,22,28,30	0,7,8
2415474.574258	1901.244039	 7.20	 0.19	12.79	156.13424	-19.09976	 81.2	0.530	am00743	193	41943040	1349388288	269228	256	0.000700	23,25	11,17,18,19,21,22,28,30	8
2415481.696132	1901.263551	 8.49	 0.29	13.63	156.15354	-19.09269	-68.4	0.373	b27071	184	0	1349452800	463896	704	0.000700		10,16,17,18,19,21,22,28,30	6,7,9
2415485.704408	1901.274533	 8.11	 0.16	12.75	156.15537	-19.09182	 70.9	0.354	am00757	193	0	1349453824	708573	256	0.000700		11,16,17,18,19,21,22,28,30	8
2415514.617424	1901.353746	 8.29	 0.16	11.76	156.15454	-19.09241	 76.2	0.129	am00774	193	0	1349451776	416961	384	0.000700		16,17,18,19,21,22,28,30	7,8
