title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2421709.536867	1918.315169	 8.05	 0.14	11.54	156.15271	-19.09259	-55.0	0.263	am13899	194	128	1483669504	469860	392	0.000700	7	16,17,18,19,21,22,27,28,30	3,7,8
2421715.534608	1918.331602	 8.37	 0.46	12.26	156.15175	-19.09194	 83.5	0.073	am13930	194	33554560	1479411712	1194643	264	0.000700	7,25	11,17,18,19,21,27,28,30	3,8
2421717.559692	1918.337150	 8.17	 0.12	11.09	156.15326	-19.09279	 80.2	0.537	ac20090	190	0	1349453824	426429	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421718.571557	1918.339922	 8.03	 0.16	12.02	156.15318	-19.09227	 63.7	0.304	am13945	194	0	1349451778	925534	384	0.000700		1,16,17,18,19,21,22,28,30	7,8
2421720.538591	1918.345311	 8.21	 0.37	12.21	156.15439	-19.09177	 72.4	0.079	am13952	194	0	1349453824	407333	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421723.535709	1918.353522	 7.93	 0.31	12.28	156.15482	-19.09234	-75.3	0.061	am13967	194	0	1349453824	514820	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421724.532208	1918.356253	 8.29	 0.33	11.74	156.15335	-19.09231	 69.6	0.292	am13973	194	0	1349451776	1054202	384	0.000700		16,17,18,19,21,22,28,30	7,8
2421728.524429	1918.367190	 8.34	 0.32	12.29	156.15476	-19.09202	 84.7	0.037	am13977	194	0	1349453824	455520	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421749.495083	1918.424644	 8.40	 0.23	12.85	156.15345	-19.09201	 66.8	0.228	b52924	186	268435584	1349192704	225662	595	0.000010	7,28	10,11,16,17,19,21,22,28,30	0,1,4,6,9
2421750.483957	1918.427353	 7.60	 0.48	13.48	156.15386	-19.09167	 68.5	0.361	b52959	186	128	1349452800	189626	723	0.000010	7	10,16,17,18,19,21,22,28,30	0,1,4,6,7,9
2421759.502922	1918.452063	 8.05	 0.26	12.85	156.15230	-19.09112	-60.4	0.203	am14072	194	0	1349453824	449103	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421776.472405	1918.498555	 8.20	 0.20	11.81	156.15277	-19.09311	-75.5	0.105	am14123	194	0	1349453824	397407	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421777.476521	1918.501306	 8.14	 0.27	13.07	156.15193	-19.09127	-73.9	0.227	am14129	194	0	1349451776	408289	384	0.000700		16,17,18,19,21,22,28,30	7,8
2421782.479452	1918.515012	 8.14	 0.27	11.89	156.15351	-19.09315	 76.8	0.075	am14133	194	0	1349453824	725801	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421789.476801	1918.534183	 8.13	 0.16	11.93	156.15272	-19.09283	 83.9	0.153	am14156	194	0	1349453824	498522	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421790.497546	1918.536980	 8.10	 0.25	12.08	156.15401	-19.09197	 58.1	0.173	am14163	194	0	1349453824	339474	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421908.918261	1918.861420	 8.15	 0.16	12.01	156.15362	-19.09152	 76.3	0.087	ac20678	197	0	1349453824	162269	256	0.000700		11,16,17,18,19,21,22,28,30	8
2421946.828211	1918.965283	 8.26	 0.31	 9.08	156.15406	-19.09274	 48.5	0.374	ai17916	183	0	1349451778	107027	384	0.000700		1,16,17,18,19,21,22,28,30	7,8
2421991.785102	1919.088452	 8.20	 0.24	12.80	156.15480	-19.09230	 85.9	0.203	ac21045	190	0	1349454848	372243	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2421999.767758	1919.110323	 8.09	 0.23	12.09	156.15455	-19.09239	 84.9	0.169	ac21104	190	0	1349453824	149419	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422000.691305	1919.112853	 8.23	 0.14	 9.65	156.15249	-19.09455	 66.6	0.310	ai18215	183	0	1349453824	117098	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422028.633976	1919.189408	 8.44	 0.25	11.26	156.15242	-19.09230	-73.5	0.137	ac21258	190	0	1349451776	141059	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422042.647454	1919.227801	 8.31	 0.14	12.81	156.15346	-19.09213	 72.8	0.356	ac21293	190	0	1349453824	363903	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422048.652133	1919.244252	 8.16	 0.26	12.05	156.15340	-19.09410	 60.6	0.146	am14592	194	0	1349454848	811978	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422053.618548	1919.257859	 8.30	 0.82	10.48	156.15354	-19.09322	 85.4	0.344	am14602	194	268435456	1349189632	726811	384	0.000700	28	16,17,19,21,22,28,30	7,8
2422055.608497	1919.263311	 8.06	 0.24	12.82	156.15187	-19.09168	-78.1	0.447	am14609	194	0	1349451776	385787	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422070.623389	1919.304448	 8.07	 0.22	10.68	156.15335	-19.09126	-77.8	0.188	ai18447	183	0	1349453824	195989	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422076.575924	1919.320756	 8.39	 0.25	12.40	156.15354	-19.09237	-86.6	0.685	am14650	194	100663424	1349386243	465150	4481	0.000700	7,25,26	0,1,17,18,19,21,22,28,30	0,7,8,12
2422080.569569	1919.331697	 8.22	 0.36	12.52	156.15256	-19.09496	 32.9	0.323	am14666	194	0	1349454848	829554	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422107.507524	1919.405500	 8.13	 0.35	12.14	156.15459	-19.09215	-80.5	0.021	am14726	194	0	1349454848	367816	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422109.505008	1919.410973	 8.21	 0.48	12.20	156.15339	-19.09268	 65.6	0.246	am14734	194	0	1349454848	629585	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422112.505558	1919.419193	 8.17	 0.39	12.74	156.15348	-19.09267	 71.7	0.273	am14746	194	0	1349454848	845710	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422134.508695	1919.479476	 8.13	 0.67	11.65	156.15145	-19.09354	 48.0	0.183	am14794	194	276840448	1349124096	33835	384	0.000700	14,23,28	17,19,21,22,28,30	7,8
2422135.501727	1919.482197	 8.15	 0.15	12.86	156.15289	-19.09171	-89.1	0.292	am14800	194	0	1349452800	541324	448	0.000700		10,16,17,18,19,21,22,28,30	6,7,8
2422141.494555	1919.498615	 8.40	 0.58	12.72	156.15270	-19.09447	 31.2	0.282	am14819	194	0	1349454848	744669	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422283.924293	1919.888834	 8.21	 0.18	12.11	156.15345	-19.09167	 87.0	0.253	ac22018	190	0	1349453824	194796	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422293.897173	1919.916157	 8.24	 0.62	 9.61	156.15376	-19.09437	 40.1	0.089	ai19126	195	268435456	1349189632	104717	384	0.000700	28	16,17,19,21,22,28,30	7,8
2422295.936910	1919.921745	 8.14	 0.24	12.12	156.15427	-19.09151	-80.7	0.241	ac22059	190	0	1349454848	90805	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422318.845320	1919.984508	 8.28	 0.23	11.02	156.15247	-19.09129	-18.5	0.187	ai19228	195	0	1349453824	157694	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422337.842376	1920.036455	 8.28	 0.15	10.61	156.15320	-19.09052	-26.4	0.294	ai19325	195	0	1349453824	101204	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422338.763529	1920.038971	 8.32	 0.19	12.90	156.15322	-19.09123	 39.7	0.121	ac22257	190	0	1349451776	229178	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422339.748401	1920.041662	 8.13	 0.23	10.65	156.15559	-19.08927	  2.3	0.377	ai19346	195	268435456	1349454848	141643	320	0.000700	28	10,11,16,17,18,19,21,22,28,30	6,8
2422342.791317	1920.049976	 7.95	 0.15	10.97	156.15113	-19.08745	-18.1	0.391	ai19361	195	0	1349453824	163804	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422345.754575	1920.058073	 8.08	 0.19	10.47	156.15190	-19.08941	-16.3	0.421	ai19377	195	0	1349453824	102485	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422352.722017	1920.077109	 8.32	 0.19	12.58	156.15343	-19.09210	 38.9	0.138	ac22317	190	0	1349451776	208439	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422364.670759	1920.109756	 8.09	 0.20	10.49	156.15323	-19.09277	-38.9	0.635	ai19442	195	1073741824	1349388290	71393	4352	0.000700	30	1,11,17,18,19,21,22,28,30	8,12
2422365.833937	1920.112934	 8.31	 0.10	 9.73	156.15347	-19.09322	 44.2	0.519	ai19452	195	1073741824	1349388288	114018	256	0.000700	30	11,17,18,19,21,22,28,30	8
2422366.703463	1920.115310	 8.03	 0.32	10.16	156.15340	-19.09135	-43.4	0.683	ai19461	195	268435456	1349189632	99892	4480	0.000700	28	16,17,19,21,22,28,30	7,8,12
2422366.745709	1920.115425	 7.98	 0.38	11.36	156.15428	-19.09274	-28.2	0.149	ac22386	190	16384	1349453824	18409	256	0.000700	14	11,16,17,18,19,21,22,28,30	8
2422366.785533	1920.115534	 8.29	 0.22	12.55	156.15432	-19.09137	 89.2	0.226	ac22387	190	0	1349453824	460505	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422369.755277	1920.123648	 8.01	 0.16	10.49	156.15518	-19.09047	 21.8	0.536	ai19471	195	0	1349453824	172426	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422371.713861	1920.129000	 8.13	 0.14	10.32	156.15225	-19.09230	 33.1	0.541	ai19483	195	0	1349451776	75653	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422375.669448	1920.139807	 8.17	 0.22	 9.96	156.15218	-19.08992	-38.1	0.551	ai19499	195	0	1349453824	112722	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422380.737954	1920.153656	 8.17	 0.52	12.14	156.15427	-19.09280	 86.8	0.185	ac22438	190	0	1349453824	223426	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422380.738647	1920.153658	 8.09	 0.21	10.55	156.15401	-19.08851	 27.3	0.446	ai19513	195	0	1349451776	126601	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422381.675330	1920.156217	 8.13	 0.19	 9.72	156.15586	-19.09386	-48.7	0.492	ai19522	195	0	1349453824	171638	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422394.705660	1920.191819	 8.50	 0.22	 9.65	156.15343	-19.09285	 41.9	0.144	ai19578	195	0	1349453824	124006	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422407.658513	1920.227209	 8.28	 0.17	10.48	156.15450	-19.09256	-51.6	0.095	ai19597	195	0	1349453824	137302	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422412.576149	1920.240645	 8.22	 0.16	11.54	156.15265	-19.09234	 82.1	0.122	ac22540	190	0	1349453824	233365	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422424.612825	1920.273532	 8.28	 0.25	12.50	156.15351	-19.09188	-19.7	0.083	ac22573	183	0	1349453824	211210	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422425.643631	1920.276349	 8.22	 0.18	10.39	156.15366	-19.09095	 30.5	0.256	ai19654	195	0	1349453824	139027	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422428.617402	1920.284474	 7.89	 0.22	13.36	156.14751	-19.08917	-78.6	0.165	am15098	194	41943040	1349389312	412880	320	0.000700	23,25	10,11,17,18,19,21,22,28,30	6,8
2422429.629506	1920.287239	 8.23	 0.18	12.33	156.15410	-19.09410	  0.5	0.167	am15105	194	0	1349454848	795614	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422432.585478	1920.295316	 8.86	 0.32	13.64	156.15364	-19.09227	-61.8	0.141	mf05249	189	33570944	1349389312	124446	577	0.000700	7,14,25	10,11,17,18,19,21,22,28,30	0,6,9
2422450.561643	1920.344431	 8.21	 0.15	11.71	156.15344	-19.09225	-16.6	0.366	ac22626	190	0	1349453824	333885	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422457.500215	1920.363389	 8.30	 0.22	15.50	156.15431	-19.09218	 27.1	0.103	mf05546	189	128	1349454850	502564	577	0.000700	7	1,10,11,16,17,18,19,21,22,28,30	0,6,9
2422458.534452	1920.366214	 8.57	 0.50	11.91	156.15342	-19.09200	 71.9	0.234	am15178	194	0	1349454848	656005	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2422458.581542	1920.366343	 8.37	 0.45	12.13	156.15398	-19.09166	 51.1	0.270	am15179	194	0	1349453824	474571	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422459.560379	1920.369017	 8.18	 0.12	14.22	156.15379	-19.09263	 59.9	0.083	mf05614	189	128	1349452800	383937	705	0.000700	7	10,16,17,18,19,21,22,28,30	0,6,7,9
2422461.525325	1920.374386	 8.17	 0.50	11.98	156.15320	-19.09382	 35.2	0.185	am15190	194	128	1479477248	53785	264	0.000700	7	11,16,17,18,19,21,27,28,30	3,8
2422484.484445	1920.437116	 8.29	 0.24	11.93	156.15351	-19.09178	 69.7	0.289	am15240	194	0	1349451776	797999	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422485.492707	1920.439871	 8.03	 0.19	13.28	156.15226	-19.09190	-69.5	0.151	am15244	194	0	1349453824	471604	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422488.542772	1920.448204	 8.31	 0.14	13.95	156.15426	-19.09221	 66.2	0.113	mf06027	189	128	1349454848	1138553	577	0.000700	7	10,11,16,17,18,19,21,22,28,30	0,6,9
2422677.861481	1920.965469	 8.22	 0.22	12.47	156.15405	-19.09139	 28.0	0.351	ac23153	190	0	1349453824	365874	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422696.792473	1921.017240	 8.11	 0.20	12.97	156.15352	-19.09184	 39.3	0.173	ac23235	190	0	1349453824	302825	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422696.793165	1921.017242	 8.16	 0.16	10.60	156.15089	-19.08940	-23.7	0.498	ai20230	195	0	1349451776	244364	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422702.826399	1921.033771	 8.16	 0.71	 9.62	156.15090	-19.09350	-10.4	0.397	ai20260	195	268435456	1349189634	161513	384	0.000700	28	1,16,17,19,21,22,28,30	7,8
2422707.793696	1921.047380	 8.15	 0.18	13.06	156.15305	-19.09166	 19.7	0.163	ac23285	190	0	1349453824	544695	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422708.749476	1921.049999	 8.29	 0.24	 9.49	156.15202	-19.09150	 -8.1	0.248	ai20292	195	0	1349453826	198140	256	0.000700		1,11,16,17,18,19,21,22,28,30	8
2422724.823719	1921.094038	 8.22	 0.40	12.24	156.15417	-19.09249	 44.2	0.067	ac23396	190	0	1349453824	352005	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422727.791416	1921.102168	 8.07	 0.61	 9.81	156.15679	-19.09801	-44.8	0.616	ai20397	195	268435456	1349189632	150398	4480	0.000700	28	16,17,19,21,22,28,30	7,8,12
2422729.745173	1921.107521	 8.02	 0.15	11.40	156.15604	-19.08663	 24.4	0.467	ai20408	195	0	1349453824	251904	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422733.696301	1921.118346	 8.02	 0.13	10.46	156.15384	-19.09330	-42.2	0.639	ai20419	195	0	1349451776	174768	4480	0.000700		16,17,18,19,21,22,28,30	7,8,12
2422733.740626	1921.118467	 8.24	 0.25	12.32	156.15386	-19.09212	  2.3	0.093	ac23428	190	0	1349451776	493866	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422735.794788	1921.124095	 8.14	 0.20	10.52	156.15171	-19.09166	-56.2	0.585	ai20430	195	0	1349451778	197944	384	0.000700		1,16,17,18,19,21,22,28,30	7,8
2422738.767979	1921.132241	 8.20	 0.17	 9.71	156.15174	-19.09289	 21.2	0.202	ai20450	195	0	1349453824	209574	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422753.678055	1921.173091	 8.22	 0.11	11.62	156.15164	-19.08790	-30.8	0.439	ai20501	195	0	1349453824	241338	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422765.643820	1921.205873	 8.09	 0.15	12.80	156.15286	-19.09193	 45.1	0.107	ac23529	190	0	1349451776	205955	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422765.644513	1921.205875	 7.99	 0.35	10.56	156.15322	-19.08681	-18.3	0.456	ai20525	195	33554432	1349386240	173563	384	0.000700	25	17,18,19,21,22,28,30	7,8
2422779.611458	1921.244141	 8.23	 0.20	12.81	156.15252	-19.09109	-27.4	0.119	ac23580	190	0	1349453824	513576	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422779.651624	1921.244251	 8.27	 0.16	11.05	156.15259	-19.08785	-29.5	0.461	ai20577	195	0	1349451776	203824	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422781.666863	1921.249772	 8.42	 0.21	10.82	156.15369	-19.09350	-57.3	0.595	ai20583	195	0	1349451778	264431	384	0.000700		1,16,17,18,19,21,22,28,30	7,8
2422782.652320	1921.252472	 8.15	 0.17	10.45	156.15555	-19.09105	 80.9	0.299	ai20592	195	0	1349453824	196438	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422789.625967	1921.271578	 8.06	 0.20	11.89	156.15393	-19.09163	 -0.2	0.171	ac23614	190	0	1349451776	287043	384	0.000700		16,17,18,19,21,22,28,30	7,8
2422805.587575	1921.315308	 8.00	 0.33	10.20	156.15399	-19.09364	-42.1	0.729	ai20638	195	128	1479477250	134509	4360	0.000700	7	1,11,16,17,18,19,21,27,28,30	3,8,12
2422821.561533	1921.359073	 8.06	 0.29	11.99	156.15367	-19.09326	 62.6	0.130	am15582	194	0	1349453824	351719	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422823.515402	1921.364426	 8.25	 0.33	11.66	156.15366	-19.09278	 86.2	0.238	am15583	194	0	1349453824	828598	256	0.000700		11,16,17,18,19,21,22,28,30	8
2422823.558683	1921.364544	 8.14	 0.34	11.95	156.15376	-19.09185	 47.1	0.144	am15584	194	0	1349453824	474066	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423030.871658	1921.932525	 8.40	 0.26	10.65	156.15281	-19.09353	 31.4	0.366	ai21382	195	0	1349451776	120770	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423032.871918	1921.938005	 8.25	 0.25	10.51	156.15307	-19.09183	 31.6	0.231	ai21405	195	33554432	1349388288	117855	256	0.000700	25	11,17,18,19,21,22,28,30	8
2423032.910703	1921.938112	 8.09	 0.22	11.92	156.15435	-19.09205	 32.4	0.124	ac24463	190	0	1349453824	518478	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423051.904119	1921.990148	 8.15	 0.17	11.11	156.15462	-19.08919	 12.2	0.429	ai21462	195	0	1349451776	134521	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423053.808784	1921.995367	 8.20	 0.23	12.31	156.15418	-19.09210	 16.9	0.371	ac24538	190	0	1349453824	327896	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423055.855432	1922.000974	 8.04	 0.14	10.91	156.15341	-19.08835	  4.2	0.370	ai21495	195	0	1349453824	147884	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423056.838931	1922.003668	 8.31	 0.22	11.17	156.15069	-19.08792	-21.7	0.450	ai21499	195	0	1349452800	221045	448	0.000700		10,16,17,18,19,21,22,28,30	6,7,8
2423060.851873	1922.014663	 8.57	 0.28	10.69	156.15270	-19.09244	 64.1	0.412	ai21507	195	0	1349451778	218000	384	0.000700		1,16,17,18,19,21,22,28,30	7,8
2423081.822956	1922.072118	 8.35	 0.34	10.98	156.15336	-19.09030	 82.6	0.319	ai21571	204	0	1349452800	349059	448	0.000700		10,16,17,18,19,21,22,28,30	6,7,8
2423085.852417	1922.083157	 8.30	 0.23	10.71	156.15350	-19.09409	 39.0	0.342	ai21584	195	0	1349451778	238803	384	0.000700		1,16,17,18,19,21,22,28,30	7,8
2423089.791129	1922.093948	 9.28	 0.17	10.15	156.16580	-19.09396	 54.3	0.290	ai21596	195	109051904	1349386243	215379	384	0.000700	23,25,26	0,1,17,18,19,21,22,28,30	7,8
2423114.658454	1922.162078	 7.98	 0.21	10.11	156.15355	-19.09154	-48.4	0.469	ai21645	195	0	1349453826	148690	256	0.000700		1,11,16,17,18,19,21,22,28,30	8
2423143.661989	1922.241540	 8.07	 0.15	10.68	156.15491	-19.09032	 65.8	0.369	ai21706	195	0	1349451776	41326	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423161.637629	1922.290788	 8.09	 0.19	10.97	156.15646	-19.08993	 41.0	0.187	ai21732	195	0	1349453824	206559	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423166.513002	1922.304145	 8.27	 0.70	11.40	156.15374	-19.09326	-16.8	0.286	am15698	194	268451840	1349191680	34753	256	0.000700	14,28	11,16,17,19,21,22,28,30	8
2423189.519855	1922.367178	 8.20	 0.50	11.67	156.15366	-19.09335	-88.5	0.531	am15769	194	0	1349454848	418020	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2423191.505575	1922.372618	 8.26	 0.27	11.27	156.15493	-19.09255	 73.2	0.246	am15778	194	8388608	1349388288	19945	256	0.000700	23	11,17,18,19,21,22,28,30	8
2423191.552318	1922.372746	 8.08	 0.33	11.70	156.15362	-19.09221	 82.8	0.336	am15779	194	0	1349453824	290349	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423207.510043	1922.416466	 7.98	 0.22	12.87	156.15042	-19.10004	 21.3	0.259	am15831	194	41943040	1349389312	530680	320	0.000700	23,25	10,11,17,18,19,21,22,28,30	6,8
2423209.543533	1922.422037	 7.95	 0.27	12.92	156.15400	-19.09251	 88.2	0.332	am15838	194	0	1349451776	387918	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423253.495341	1922.542453	 8.31	 0.23	12.13	156.15458	-19.09172	 29.7	0.191	am15957	194	0	1349453824	264821	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423375.919613	1922.877862	 8.01	 0.35	 9.77	156.15381	-19.09329	-43.3	0.314	ai22118	195	268435456	1349191680	81211	256	0.000700	28	11,16,17,19,21,22,28,30	8
2423418.897736	1922.995610	 8.14	 0.18	11.25	156.15357	-19.09099	-76.6	0.321	ai22211	183	0	1349454848	129915	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2423470.740336	1923.137645	 8.08	 0.37	11.49	156.15476	-19.09220	 32.2	0.201	ac25158	190	16384	1349451776	10343	384	0.000700	14	16,17,18,19,21,22,28,30	7,8
2423474.796672	1923.148758	 8.11	 0.18	10.89	156.15394	-19.09029	-81.5	0.465	ai22356	195	1107296256	1349386240	133758	384	0.000700	25,30	17,18,19,21,22,28,30	7,8
2423486.683440	1923.181324	 8.39	 0.27	12.94	156.14901	-19.10242	 28.1	0.440	am16173	194	41943040	1349386240	614321	384	0.000700	23,25	17,18,19,21,22,28,30	7,8
2423487.698715	1923.184106	 8.23	 0.57	11.72	156.15305	-19.09378	-26.2	0.495	am16177	194	268451968	1479215104	25237	264	0.000700	7,14,28	11,16,17,19,21,27,28,30	3,8
2423493.732367	1923.200637	 8.31	 0.24	 9.91	156.15362	-19.08996	 57.6	0.578	ai22393	195	0	1349453826	292812	256	0.000700		1,11,16,17,18,19,21,22,28,30	8
2423497.715150	1923.211548	 8.14	 0.20	10.42	156.15823	-19.09221	-80.0	0.309	ai22401	183	0	1349451776	401652	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423500.643184	1923.219570	 8.18	 0.44	10.32	156.15339	-19.09202	-73.7	0.314	ai22407	200	0	1349451776	321535	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423503.616001	1923.227715	 8.21	 0.26	14.03	156.15679	-19.09203	 63.6	0.333	am16185	194	0	1349453824	369797	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423519.635067	1923.271603	 8.31	 0.25	12.39	156.15047	-19.09705	 66.0	0.197	am16195	194	310378496	1349387264	560381	448	0.000700	23,25,28	10,17,18,19,21,22,28,30	6,7,8
2423524.611335	1923.285237	 8.15	 0.34	10.22	156.15349	-19.09176	-81.8	0.516	ai22450	200	0	1349453824	250399	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423526.615929	1923.290729	 8.28	 0.32	12.80	156.15533	-19.09180	 69.5	0.184	am16201	194	0	1349453824	331068	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423532.550710	1923.306988	 7.96	 0.18	13.10	156.15006	-19.09992	 28.6	0.398	am16214	194	41943040	1349389312	995217	320	0.000700	23,25	10,11,17,18,19,21,22,28,30	6,8
2423535.604648	1923.315355	 8.02	 0.14	12.03	156.15014	-19.09872	 43.0	0.312	am16226	194	41943040	1349388288	378127	256	0.000700	23,25	11,17,18,19,21,22,28,30	8
2423543.551773	1923.337128	 8.13	 0.19	12.24	156.15249	-19.09224	-28.8	0.544	am16246	194	0	1349453824	38748	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423547.567905	1923.348131	 8.23	 0.19	12.94	156.14990	-19.09680	 60.4	0.257	am16250	194	41943040	1349386240	676305	384	0.000700	23,25	17,18,19,21,22,28,30	7,8
2423566.587185	1923.400239	 8.11	 0.12	12.55	156.15465	-19.09208	-65.0	0.207	am16266	194	0	1349451776	176592	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423573.547038	1923.419307	 8.16	 0.37	12.27	156.15218	-19.09553	 -9.1	0.038	am16277	194	41943040	1349388288	688623	256	0.000700	23,25	11,17,18,19,21,22,28,30	8
2423576.510540	1923.427426	 8.25	 0.32	12.22	156.15176	-19.09520	 69.9	0.097	am16291	194	41943040	1349389312	645970	320	0.000700	23,25	10,11,17,18,19,21,22,28,30	6,8
2423742.891070	1923.883263	 7.63	 0.73	 9.32	156.15368	-19.09676	 80.5	0.250	ai22896	195	1342177280	1349124096	267460	384	0.000700	28,30	17,19,21,22,28,30	7,8
2423752.914158	1923.910724	 8.10	 0.10	11.26	156.15301	-19.09255	 71.6	0.072	ax00337	194	0	1349453824	171270	256	0.000700		11,16,17,18,19,21,22,28,30	8
2423768.872939	1923.954446	 8.06	 0.22	13.77	156.15193	-19.09170	 40.5	0.158	ac25501	190	0	1349454848	256952	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2423771.904145	1923.962751	 7.98	 0.32	13.23	156.15564	-19.09013	 69.4	0.231	ax00368	194	0	1349454848	134969	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2423788.832841	1924.009106	 8.12	 0.23	11.56	156.15447	-19.09117	 27.8	0.351	ac25548	190	128	1349451776	23814	385	0.000700	7	16,17,18,19,21,22,28,30	0,7,8
2423797.749522	1924.033469	 8.03	 0.15	11.84	156.15421	-19.09234	-83.6	0.130	am16561	194	0	1349451776	738581	384	0.000700		16,17,18,19,21,22,28,30	7,8
2423812.690824	1924.074292	 8.05	 0.36	12.81	156.15268	-19.09159	-66.2	0.195	am16586	194	128	1349453824	1085958	257	0.000700	7	11,16,17,18,19,21,22,28,30	0,8
2423814.782987	1924.080008	 8.02	 0.49	11.75	156.15431	-19.09116	 82.7	0.294	ax00449	194	128	1479478272	145883	328	0.000700	7	10,11,16,17,18,19,21,27,28,30	3,6,8
