hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457120.62152,bf,V,8.573,0.02,1404.83,25.849
2457088.80641,be,V,8.65,0.02,1512.507,27.83
2457052.72673,be,V,8.596,0.02,1588.516,29.229
2456740.86914,bc,V,8.457,0.02,1628.528,29.965
2458158.68674,bh,V,8.574,0.02,1314.116,24.18
2458128.76047,bg,V,8.694,0.02,1277.158,23.5
2457798.74159,bg,V,8.473,0.02,1565.704,28.809
2457772.74957,bg,V,8.596,0.02,1397.442,25.713
2457095.7548,bf,V,8.589,0.02,1383.4,25.455
2456741.75956,bd,V,8.553,0.02,1661.117,30.565
2458075.82878,bg,V,8.61,0.02,1379.669,25.386
2457883.63254,bg,V,8.82,0.02,1137.871,20.937
2457767.79173,bg,V,8.567,0.02,1435.25,26.409
2457435.70423,bg,V,8.362,0.02,1735.027,31.924
2457420.83283,bh,V,8.685,0.02,1186.815,21.837
2457161.56574,bf,V,8.523,0.02,1470.255,27.053
2458448.16159,bd,V,8.754,0.02,1379.942,25.391
2458195.53055,bg,V,8.77,0.02,1191.507,21.924
2458080.8136,bh,V,8.509,0.02,1394.987,25.668
2457901.57951,bg,V,8.536,0.02,1477.81,27.192
2457827.86925,bc,V,8.612,0.02,1411.933,25.98
2457728.80454,bh,V,8.573,0.02,1315.487,24.205
2457466.80516,bc,V,9.711,0.02,513.027,9.44
2457161.57113,be,V,8.572,0.02,1624.038,29.882
2458450.1434,bd,V,8.635,0.02,1539.295,28.323
2458040.87391,bg,V,8.851,0.02,1105.251,20.337
2457751.71104,bh,V,8.507,0.02,1397.731,25.718
2457437.56558,bh,V,8.541,0.02,1354.883,24.93
2457370.09838,bd,V,8.605,0.02,1583.191,29.131
2457026.76935,bf,V,8.558,0.02,1424.555,26.212
2458217.56949,bh,V,8.546,0.02,1348.997,24.822
2457856.67279,bg,V,8.686,0.02,1286.53,23.672
2457822.62805,bg,V,8.557,0.02,1449.286,26.667
2457806.81532,bh,V,8.688,0.02,1183.751,21.781
2457778.98271,bc,V,8.566,0.02,1473.305,27.109
2457761.68088,bh,V,8.61,0.02,1271.685,23.399
2457021.76147,be,V,8.555,0.02,1650.709,30.373
2458125.05651,bd,V,8.548,0.02,1669.145,30.712
2457910.5732,bh,V,8.505,0.02,1401.16,25.781
2457817.88272,bd,V,8.646,0.02,1524.994,28.06
2457673.88106,bg,V,8.722,0.02,1245.011,22.908
2457428.83758,bh,V,8.562,0.02,1328.597,24.446
2457381.08612,bc,V,8.586,0.02,1446.84,26.622
2457129.59957,bf,V,8.539,0.02,1448.516,26.653
2457101.52352,be,V,8.553,0.02,1653.108,30.417
2458185.58958,bg,V,8.88,0.02,1076.366,19.805
2457942.4481,bg,V,8.638,0.02,1344.387,24.737
2457409.86161,bh,V,8.599,0.02,1284.871,23.642
2457096.65933,be,V,8.563,0.02,1637.618,30.132
2457078.97905,bc,V,8.539,0.02,1510.718,27.797
2457071.95088,bd,V,8.568,0.02,1637.991,30.139
2457063.70924,be,V,8.669,0.02,1485.291,27.329
2456832.47939,bf,V,8.455,0.02,1566.08,28.816
2457793.92523,bc,V,8.682,0.02,1324.22,24.366
2457699.83653,bh,V,8.625,0.02,1253.472,23.064
2457448.76332,bg,V,8.356,0.02,1744.319,32.095
2457188.52116,be,V,8.596,0.02,1589.668,29.25
2457185.51835,be,V,8.517,0.02,1709.587,31.456
2457121.71747,be,V,8.601,0.02,1581.812,29.105
2457093.74219,bf,V,8.663,0.02,1292.524,23.782
2458136.00968,bd,V,8.572,0.02,1632.692,30.042
2458116.78387,bg,V,8.803,0.02,1154.953,21.251
2457334.82516,bg,V,8.345,0.02,1760.917,32.401
2457080.68448,bf,V,8.525,0.02,1467.283,26.998
2457038.74364,be,V,8.588,0.02,1601.013,29.459
2456982.12898,bc,V,8.462,0.02,1621.925,29.843
2456615.08645,bd,V,8.242,0.02,2211.007,40.683
2457933.47309,bh,V,8.424,0.02,1508.428,27.755
2457802.68534,bh,V,8.662,0.02,1212.07,22.302
2457765.99176,bc,V,8.634,0.02,1383.769,25.461
2457711.14859,bc,V,8.608,0.02,1417.113,26.075
2457114.63072,be,V,8.543,0.02,1668.964,30.709
2457103.84985,bd,V,8.551,0.02,1663.462,30.608
2458187.89836,bd,V,8.647,0.02,1522.457,28.013
2457766.71851,bh,V,8.717,0.02,1151.69,21.191
