hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457485.71571,bg,V,8.47,0.02,1570.629,28.9
2457415.72707,bg,V,8.299,0.02,1838.327,33.825
2457038.75451,bf,V,8.588,0.02,1385.753,25.498
2456988.79026,be,V,8.58,0.02,1612.831,29.676
2458101.13681,bd,V,8.618,0.02,1563.707,28.772
2458097.75389,bg,V,8.859,0.02,1097.443,20.193
2458088.80436,bh,V,8.497,0.02,1410.502,25.953
2457446.85623,bh,V,8.674,0.02,1198.334,22.049
2457421.68282,bh,V,8.586,0.02,1300.148,23.923
2457416.6109,bg,V,8.376,0.02,1712.201,31.504
2456984.13317,bd,V,8.505,0.02,1735.422,31.932
2456971.80391,be,V,8.795,0.02,1323.153,24.346
2458145.7116,bg,V,8.715,0.02,1252.6,23.048
2458128.06573,bd,V,8.577,0.02,1624.944,29.899
2457943.46736,bh,V,8.482,0.02,1430.614,26.323
2457905.56522,bg,V,8.804,0.02,1154.667,21.246
2457361.80729,bh,V,8.598,0.02,1285.492,23.653
2457870.58189,bg,V,8.607,0.02,1384.01,25.466
2457379.75674,bg,V,8.327,0.02,1791.605,32.966
2457148.65613,bf,V,8.648,0.02,1310.981,24.122
2458144.7313,bg,V,8.659,0.02,1319.275,24.275
2457816.88252,bd,V,8.621,0.02,1559.521,28.695
2457802.76881,bg,V,8.693,0.02,1278.794,23.53
2457560.47751,bh,V,8.587,0.02,1298.213,23.887
2457072.0086,bc,V,8.568,0.02,1471.006,27.067
2458081.83691,bh,V,8.468,0.02,1449.492,26.671
2457845.7025,bg,V,8.553,0.02,1454.704,26.767
2457716.85726,bh,V,8.542,0.02,1353.615,24.907
2458140.77435,bg,V,8.635,0.02,1348.634,24.815
2457799.63392,bh,V,8.622,0.02,1257.504,23.138
2457756.70011,bh,V,8.523,0.02,1377.942,25.354
2457408.81269,bg,V,8.41,0.02,1659.476,30.534
2457404.7004,bh,V,8.613,0.02,1268.221,23.335
2457159.60564,be,V,8.58,0.02,1612.419,29.669
2457050.7009,be,V,8.62,0.02,1554.918,28.61
2457036.8097,be,V,8.58,0.02,1612.369,29.668
2457021.7525,bf,V,8.55,0.02,1434.256,26.39
2456983.14661,bc,V,8.525,0.02,1530.264,28.157
2456735.81988,bc,V,8.46,0.02,1624.636,29.893
2457887.64228,bh,V,8.647,0.02,1228.632,22.607
2457477.66517,bg,V,8.447,0.02,1603.876,29.511
2457447.85151,bh,V,8.647,0.02,1228.608,22.606
2457199.51191,bf,V,8.681,0.02,1271.342,23.393
2457062.95498,bc,V,8.466,0.02,1615.21,29.72
2456833.46609,be,V,8.497,0.02,1740.96,32.034
2457798.73757,bh,V,8.665,0.02,1208.45,22.235
2457575.45568,bg,V,8.489,0.02,1542.698,28.386
2457434.65924,bh,V,8.586,0.02,1299.469,23.91
2457390.85848,bh,V,8.571,0.02,1317.999,24.251
2457045.98366,bd,V,8.576,0.02,1626.587,29.929
2458125.68601,bh,V,8.573,0.02,1315.157,24.199
2457827.88905,bd,V,8.606,0.02,1581.759,29.104
2457447.82791,bg,V,8.369,0.02,1722.959,31.702
2457380.84871,bg,V,8.421,0.02,1642.266,30.218
2457376.74933,bg,V,8.362,0.02,1734.103,31.908
2457338.86754,bh,V,8.908,0.02,966.37,17.781
2457076.69935,bf,V,8.616,0.02,1350.126,24.842
2457048.87833,be,V,8.585,0.02,1604.811,29.529
2457015.77176,bf,V,8.593,0.02,1378.356,25.362
2458141.76629,bg,V,8.658,0.02,1320.794,24.303
2458135.78309,bg,V,8.665,0.02,1311.682,24.135
2457864.68637,bh,V,8.462,0.02,1457.483,26.818
2457133.59951,bf,V,8.572,0.02,1405.562,25.862
2457018.7494,be,V,8.575,0.02,1619.999,29.808
2458314.45792,bh,V,8.466,0.02,1451.453,26.707
2458124.8215,bg,V,8.622,0.02,1365.22,25.12
2457936.49651,bh,V,8.529,0.02,1370.207,25.212
2457498.76089,bd,V,8.724,0.02,1419.405,26.117
2456625.06316,bd,V,8.213,0.02,2272.337,41.811
