,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
15,156.1530849,-19.0924246,b'10h24m36.74s',b'-19d05m32.73s',0.0276,0.0286,-0.0122,6.485,0.03,36.7,2.732,6.844,0.013,81.8,4.969,1,0,0000,AA,10,57000.22559463,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.456901,301.01749
16,156.1530836,-19.092423,b'10h24m36.74s',b'-19d05m32.72s',0.0275,0.0257,-0.0105,6.56,0.027,40.6,2.683,6.902,0.012,92.2,4.665,1,0,HH00,AA,10,57000.29130116,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.463663,301.345874
17,156.1531956,-19.0924858,b'10h24m36.77s',b'-19d05m32.95s',0.0247,0.025,-0.0095,6.772,0.021,51.4,2.765,6.853,0.011,94.7,3.962,1,0,0000,AA,10,57000.35700769,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.021294,315.288164
18,156.1532081,-19.0924896,b'10h24m36.77s',b'-19d05m32.96s',0.0287,0.0312,-0.0097,6.578,0.024,44.8,5.927,6.807,0.014,76.4,17.48,1,0,0d00,AA,10,57000.42271422,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.027662,87.0086
19,156.1528742,-19.092431,b'10h24m36.69s',b'-19d05m32.75s',0.0261,0.0286,-0.0063,6.801,0.02,54.5,30.0,6.9,0.013,82.9,33.76,1,0,0000,AA,10,57000.48842075,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,1.128529,280.848252
20,156.1531444,-19.0924462,b'10h24m36.75s',b'-19d05m32.81s',0.0236,0.0294,-0.0019,6.476,0.03,36.6,2.693,6.873,0.012,89.6,6.864,1,0,0000,AA,10,57000.48854811,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.246252,309.815455
21,156.1531286,-19.0924561,b'10h24m36.75s',b'-19d05m32.84s',0.0272,0.0229,-0.0145,6.516,0.026,41.1,3.958,6.839,0.012,89.6,5.574,1,0,0000,AA,10,57000.55425456,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.271834,296.6762
22,156.1531745,-19.092452,b'10h24m36.76s',b'-19d05m32.83s',0.0239,0.0245,-0.0088,6.517,0.025,42.9,3.878,6.894,0.011,95.8,3.461,1,0,0000,AA,10,57000.61996113,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.161999,327.619606
23,156.1531084,-19.0924883,b'10h24m36.75s',b'-19d05m32.96s',0.0249,0.0279,-0.0101,6.553,0.024,45.0,3.599,6.86,0.011,98.1,7.914,1,0,0000,AA,10,57000.68566767,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.311677,271.125088
24,156.1531977,-19.0925289,b'10h24m36.77s',b'-19d05m33.10s',0.031,0.0333,-0.0143,6.648,0.025,43.6,5.384,6.877,0.015,70.6,2.0,1,0,0000,AA,10,57000.81708068,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.140244,183.197993
